17:52:41.695 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:52
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:54
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:54:41.508 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:55
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:55:41.501 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:56:41.824 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:56
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:56:41.830 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:57:41.492 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:57
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:57:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:58
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:58:41.490 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:59:41.587 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:59
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:59:41.590 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:00:41.505 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:00
18:00:41.505 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:00:41.505 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:00:41.505 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:00:41.506 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:01:41.482 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:01
18:01:41.483 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:01:41.484 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:02
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:02:41.500 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:03
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:03:41.478 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:04
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:04:41.538 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:05:41.487 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:05
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:05:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:06:41.520 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:06
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:06:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:06:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:06:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:07
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:07:41.493 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:07:41.494 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:07:41.494 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:07:41.494 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:08
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:08:41.510 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:08:41.511 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:08:41.511 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:09:41.521 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:09
18:09:41.522 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:09:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:09:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:09:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:09:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:09:41.523 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:09:41.524 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:09:41.524 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:09:41.524 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:10
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:10:41.499 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:11:41.615 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:11
18:11:41.618 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
18:11:41.618 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
18:11:41.619 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
18:12:41.492 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 18:12
